gene,logFC_limma,p_limma,FDR_limma,logFC_edgeR,p_edgeR,FDR_edgeR,agree_dir,mean_logFC,p_fisher,FDR_fisher
ENSG00000135424,-3.1183761024203775,0.37511774988222785,0.8884029941789319,-2.7253986272122765,0.12104875144909477,0.9999988525496899,TRUE,-2.9218873648163273,0.18581114035744284,0.3765914420615986
ENSG00000139144,-2.0702289186284433,0.3751218928610572,0.8884029941789319,-2.9620164764392336,0.29157992714386205,0.9999988525496899,TRUE,-2.5161226975338384,0.35142558496999027,0.5098974983291072
ENSG00000133477,-1.9441008717928352,0.3752451946297417,0.8884029941789319,-2.5857729308218316,0.07306453868703579,0.9999988525496899,TRUE,-2.2649369013073333,0.12602518435841323,0.32539266719238286
ENSG00000074855,1.493036831396702,0.3754344788887378,0.8884029941789319,1.6230853516143773,0.20655236030640312,0.9999988525496899,TRUE,1.5580610915055395,0.2758243686745154,0.45284279328999744
ENSG00000136244,1.6145466705455533,0.37546844437769733,0.8884029941789319,1.4118225329020888,0.2981849286644015,0.9999988525496899,TRUE,1.513184601723821,0.35710701918350335,0.5152587893047228
ENSG00000215817,-1.0537395226780246,0.375566362975161,0.8884029941789319,-0.9968063580456242,0.4021495294540548,0.9999988525496899,TRUE,-1.0252729403618244,0.4365257543857025,0.5802114943980337
ENSG00000198003,-2.947910936229716,0.37575889218976743,0.8884029941789319,-0.623669513807718,0.7558409310983163,0.9999988525496899,TRUE,-1.785790225018717,0.6415113764307598,0.728079830616505
ENSG00000101935,1.6419206709414242,0.37597630426117434,0.8884029941789319,0.758504015992776,0.5331803261526527,0.9999988525496899,TRUE,1.2002123434671002,0.5226324875822959,0.6414263381432226
ENSG00000128602,-2.455885522221174,0.37598807939718254,0.8884029941789319,-2.07195227294112,0.4635808100954108,0.9999988525496899,TRUE,-2.263918897581147,0.47879964766246813,0.611245541615114
ENSG00000179057,-2.366726624331389,0.3760839797079387,0.8884029941789319,-1.6126302176729796,0.42513462296948623,0.9999988525496899,TRUE,-1.9896784210021843,0.45300466762750224,0.592283367039778
ENSG00000089041,2.6708771563003606,0.3763150508361157,0.8884029941789319,3.717364015986299,0.15314557431743925,0.9999988525496899,TRUE,3.1941205861433297,0.2220922330524108,0.40867014510195293
ENSG00000188603,-1.1664671908187219,0.37632457037669764,0.8884029941789319,-0.9001858500368018,0.4630709875211298,0.9999988525496899,TRUE,-1.033326520427762,0.4787369835649925,0.611245541615114
ENSG00000140937,-2.8897963481376134,0.37661823034923747,0.8884029941789319,-4.341195034054597,0.03582014466976246,0.9999988525496899,TRUE,-3.6154956910961054,0.07157756799314759,0.2669377843259388
ENSG00000144791,1.222653001390256,0.3771048306470593,0.8884581838831105,1.220909533634254,0.2964928097480717,0.9999988525496899,TRUE,1.221781267512255,0.35677812367807743,0.5150225703706669
